地名,区划码,县级,县级码,县级类,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME,VAR_NAME,code,NAME_3,VAR_NAME3,GID_3,TYPE_3,NAME_2,VAR_NAME2,GID_2,TYPE_2,NAME_1,VAR_NAME1,GID_1,TYPE_1,year,ag_burn_count
凤县,610330.0,凤县,610330.0,县,宝鸡市,610300.0,地级市,陕西省,610000.0,省,,,Fengxian,Fèng Xiàn,610330.0,Fengxian,FèngXiàn,610330.0,,Baoji,Bǎo Jī,610300.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
凤翔县,610322.0,凤翔县,610322.0,县,宝鸡市,610300.0,地级市,陕西省,610000.0,省,,,Fengxiang,Fèng Xiáng,610322.0,Fengxiang,FèngXiáng,610322.0,,Baoji,Bǎo Jī,610300.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
凤阳县,341126.0,凤阳县,341126.0,县,滁州市,341100.0,地级市,安徽省,340000.0,省,,,Fengyang,Fèng Yáng,341126.0,Fengyang,FèngYáng,341126.0,,Chuzhou,Chú Zhōu,341100.0,,Anhui,,340000.0,Province,2015.0,0
奉化市,330283.0,奉化市,330283.0,县级市,宁波市,330200.0,地级市,浙江省,330000.0,省,,,Fenghua,,330283.0,Fenghua,,330283.0,,Ningbo,,330200.0,,Zhejiang,Zhè Jiāng,330000.0,Province,2015.0,0
奉节县,500236.0,奉节县,500236.0,县,不统计,0.0,不统计,重庆市,500000.0,直辖市,,,Fengjie,,500236.0,Fengjie,,500236.0,,NULL,NULL,0.0,NULL,Chongqing,,500000.0,,2015.0,0
奉贤区,310120.0,奉贤区,310120.0,市辖区,不统计,0.0,不统计,上海市,310000.0,直辖市,,,Fengxian,Fèng Xián,310120.0,Fengxian,FèngXián,310120.0,,NULL,NULL,0.0,NULL,Shanghai,,310000.0,,2015.0,0
奉新县,360921.0,奉新县,360921.0,县,宜春市,360900.0,地级市,江西省,360000.0,省,,,Fengxin,Fèng Xīn,360921.0,Fengxin,FèngXīn,360921.0,,Yichun,Yí Chūn,360900.0,,Jiangxi,Jiāng Xī,360000.0,Province,2015.0,0
扶风县,610324.0,扶风县,610324.0,县,宝鸡市,610300.0,地级市,陕西省,610000.0,省,,,Fufeng,Fú Fēng,610324.0,Fufeng,FúFēng,610324.0,,Baoji,Bǎo Jī,610300.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
扶沟县,411621.0,扶沟县,411621.0,县,周口市,411600.0,地级市,河南省,410000.0,省,,,Fugou,Fú Gōu,411621.0,Fugou,FúGōu,411621.0,,Zhoukou,Zhōu Kǒu,411600.0,,Henan,,410000.0,Province,2015.0,0
扶绥县,451421.0,扶绥县,451421.0,县,崇左市,451400.0,地级市,广西壮族自治区,450000.0,自治区,,,Fusui,Fú Suí,451421.0,Fusui,FúSuí,451421.0,,Chongzuo,Chóng Zuǒ,451400.0,,Guangxi,,450000.0,,2015.0,0
扶余市,220781.0,扶余市,220781.0,县级市,松原市,220700.0,地级市,吉林省,220000.0,省,,,Fuyu,Fú Yú,220781.0,Fuyu,FúYú,220781.0,,Songyuan,Sōng Yuán,220700.0,,Jilin,Jí Lín,220000.0,Province,2015.0,0
芙蓉区,430102.0,芙蓉区,430102.0,市辖区,长沙市,430100.0,地级市,湖南省,430000.0,省,,,Furong,Fú Róng,430102.0,Furong,FúRóng,430102.0,,Changsha,,430100.0,,Hunan,,430000.0,Province,2015.0,0
佛冈县,441821.0,佛冈县,441821.0,县,清远市,441800.0,地级市,广东省,440000.0,省,,,Fogang,,441821.0,Fogang,,441821.0,,Qingyuan,Qīng Yuǎn,441800.0,,Guangdong,,440000.0,Province,2015.0,0
佛坪县,610730.0,佛坪县,610730.0,县,汉中市,610700.0,地级市,陕西省,610000.0,省,,,Foping,,610730.0,Foping,,610730.0,,Hanzhong,,610700.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
浮梁县,360222.0,浮梁县,360222.0,县,景德镇市,360200.0,地级市,江西省,360000.0,省,,,Fuliang,Fú Liáng,360222.0,Fuliang,FúLiáng,360222.0,,Jingdezhen,Jǐng Dé Zhèn,360200.0,,Jiangxi,Jiāng Xī,360000.0,Province,2015.0,0
浮山县,141027.0,浮山县,141027.0,县,临汾市,141000.0,地级市,山西省,140000.0,省,,,Fushan,Fú Shān,141027.0,Fushan,FúShān,141027.0,,Linfen,Lín Fén,141000.0,,Shanxi,Shān Xī,140000.0,Province,2015.0,0
涪城区,510703.0,涪城区,510703.0,市辖区,绵阳市,510700.0,地级市,四川省,510000.0,省,,,Fucheng,Fú Chéng,510703.0,Fucheng,FúChéng,510703.0,,Mianyang,Mián Yáng,510700.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
涪陵区,500102.0,涪陵区,500102.0,市辖区,不统计,0.0,不统计,重庆市,500000.0,直辖市,,,Fuling,Fú Líng,500102.0,Fuling,FúLíng,500102.0,,NULL,NULL,0.0,NULL,Chongqing,,500000.0,,2015.0,0
福安市,350981.0,福安市,350981.0,县级市,宁德市,350900.0,地级市,福建省,350000.0,省,,,Fuan,,350981.0,Fuan,,350981.0,,Ningde,,350900.0,,Fujian,Fú Jiàn,350000.0,Province,2015.0,0
