地名,year,fire_count,frp_sum,frp_mean
万秀区,2019,18,282.5,15.694445
万荣县,2010,3,33.5,11.166667
万荣县,2011,5,47.7,9.54
万荣县,2012,4,27.2,6.8
万荣县,2013,16,184.4,11.525
万荣县,2014,8,85.0,10.625
万荣县,2015,6,50.9,8.483334
万荣县,2016,12,152.1,12.675
万荣县,2017,14,136.3,9.735715
万荣县,2018,15,217.0,14.466666
万荣县,2019,13,257.1,19.776924
万载县,2010,29,361.4,12.462069
万载县,2011,16,276.5,17.28125
万载县,2012,27,457.1,16.92963
万载县,2013,22,234.0,10.636364
万载县,2014,38,733.5,19.302631
万载县,2015,14,338.9,24.207142
万载县,2016,10,145.3,14.530001
万载县,2017,23,439.8,19.121738
万载县,2018,18,345.2,19.177778
万载县,2019,38,1259.9,33.155262
三元区,2010,31,590.8,19.058064
三元区,2011,28,674.5,24.089285
三元区,2012,9,171.8,19.08889
三元区,2013,25,356.6,14.264
三元区,2014,13,207.2,15.938461
三元区,2015,11,225.0,20.454546
三元区,2016,9,138.5,15.388889
三元区,2017,22,294.5,13.386364
三元区,2018,28,410.0,14.642858
三元区,2019,9,76.4,8.488889
三原县,2010,2,31.3,15.65
三原县,2011,3,26.8,8.933333
三原县,2012,4,31.6,7.9
三原县,2013,8,60.899998,7.6124997
三原县,2014,2,9.200001,4.6000004
三原县,2015,2,20.9,10.45
三原县,2016,13,101.0,7.769231
三原县,2017,1,9.5,9.5
三原县,2018,3,26.6,8.866667
三原县,2019,14,205.6,14.685715
三台县,2012,1,8.2,8.2
三台县,2013,1,11.1,11.1
三台县,2014,3,20.900002,6.966667
三台县,2017,1,4.7,4.7
三台县,2018,7,95.2,13.599999
三台县,2019,2,17.2,8.6
三山区,2010,4,30.7,7.675
三山区,2011,5,36.6,7.3199997
三山区,2012,35,219.3,6.265714
三山区,2013,61,460.8,7.554098
三山区,2014,50,417.7,8.354
三山区,2015,53,452.0,8.528302
三山区,2016,54,456.4,8.451852
三山区,2017,50,382.1,7.642
三山区,2018,54,520.9,9.6462965
三山区,2019,42,389.9,9.283333
三水区,2010,17,153.6,9.035295
三水区,2011,31,343.0,11.064516
三水区,2012,20,209.9,10.495
三水区,2013,27,264.2,9.785186
三水区,2014,46,468.4,10.182609
三水区,2015,33,348.9,10.572727
三水区,2016,43,441.3,10.262791
三水区,2017,42,426.6,10.157143
三水区,2018,54,536.8,9.940741
三水区,2019,72,788.1,10.945833
三江侗族自治县,2010,36,637.1,17.697222
三江侗族自治县,2011,49,642.6,13.114285
三江侗族自治县,2012,24,312.9,13.037499
三江侗族自治县,2013,67,727.4,10.856717
三江侗族自治县,2014,22,286.1,13.004546
三江侗族自治县,2015,18,544.2,30.233334
三江侗族自治县,2016,14,146.0,10.428572
三江侗族自治县,2017,20,231.40001,11.570001
三江侗族自治县,2018,5,57.3,11.46
三江侗族自治县,2019,29,407.3,14.044827
三沙市,2013,1,8.4,8.4
三沙市,2019,1,13.9,13.9
三河市,2010,30,366.4,12.213333
三河市,2011,26,257.5,9.903846
三河市,2012,35,406.7,11.62
三河市,2013,15,127.1,8.473333
三河市,2014,24,258.5,10.770833
三河市,2015,24,210.9,8.787499
三河市,2016,21,221.9,10.566667
三河市,2017,15,135.3,9.02
三河市,2018,8,84.8,10.6
三河市,2019,29,290.7,10.024138
三穗县,2011,9,192.7,21.41111
三穗县,2013,1,9.2,9.2
三穗县,2014,2,25.0,12.5
三穗县,2016,1,6.5,6.5
