县名,年份,火点数量,农业焚烧数量,农业焚烧比例
万柏林区,2012,11,0,0.0
万柏林区,2013,17,0,0.0
万柏林区,2014,10,0,0.0
万柏林区,2015,17,0,0.0
万柏林区,2016,7,0,0.0
万柏林区,2017,8,0,0.0
万柏林区,2018,5,0,0.0
万柏林区,2019,4,0,0.0
万源市,2010,9,0,0.0
万源市,2011,9,0,0.0
万源市,2012,5,0,0.0
万源市,2013,5,0,0.0
万源市,2014,9,0,0.0
万源市,2015,7,0,0.0
万源市,2016,7,0,0.0
万源市,2017,3,0,0.0
万源市,2018,7,0,0.0
万源市,2019,6,0,0.0
万秀区,2010,9,0,0.0
万秀区,2011,13,0,0.0
万秀区,2012,11,0,0.0
万秀区,2013,9,0,0.0
万秀区,2014,22,0,0.0
万秀区,2015,17,0,0.0
万秀区,2016,12,0,0.0
万秀区,2017,17,0,0.0
万秀区,2018,14,0,0.0
万秀区,2019,18,0,0.0
万荣县,2010,3,0,0.0
万荣县,2011,5,0,0.0
万荣县,2012,4,0,0.0
万荣县,2013,16,0,0.0
万荣县,2014,8,0,0.0
万荣县,2015,6,0,0.0
万荣县,2016,12,0,0.0
万荣县,2017,14,0,0.0
万荣县,2018,15,0,0.0
万荣县,2019,13,0,0.0
万载县,2010,29,0,0.0
万载县,2011,16,0,0.0
万载县,2012,27,0,0.0
万载县,2013,22,0,0.0
万载县,2014,38,0,0.0
万载县,2015,14,0,0.0
万载县,2016,10,0,0.0
万载县,2017,23,0,0.0
万载县,2018,18,0,0.0
万载县,2019,38,0,0.0
三元区,2010,31,0,0.0
三元区,2011,28,0,0.0
三元区,2012,9,0,0.0
三元区,2013,25,0,0.0
三元区,2014,13,0,0.0
三元区,2015,11,0,0.0
三元区,2016,9,0,0.0
三元区,2017,22,0,0.0
三元区,2018,28,0,0.0
三元区,2019,9,0,0.0
三原县,2010,2,0,0.0
三原县,2011,3,0,0.0
三原县,2012,4,0,0.0
三原县,2013,8,0,0.0
三原县,2014,2,0,0.0
三原县,2015,2,0,0.0
三原县,2016,13,0,0.0
三原县,2017,1,0,0.0
三原县,2018,3,0,0.0
三原县,2019,14,0,0.0
三台县,2012,1,0,0.0
三台县,2013,1,0,0.0
三台县,2014,3,0,0.0
三台县,2017,1,0,0.0
三台县,2018,7,0,0.0
三台县,2019,2,0,0.0
三山区,2010,4,0,0.0
三山区,2011,5,0,0.0
三山区,2012,35,0,0.0
三山区,2013,61,0,0.0
三山区,2014,50,0,0.0
三山区,2015,53,0,0.0
三山区,2016,54,0,0.0
三山区,2017,50,0,0.0
三山区,2018,54,0,0.0
三山区,2019,42,0,0.0
三水区,2010,17,0,0.0
三水区,2011,31,0,0.0
三水区,2012,20,0,0.0
三水区,2013,27,0,0.0
三水区,2014,46,0,0.0
三水区,2015,33,0,0.0
三水区,2016,43,0,0.0
三水区,2017,42,0,0.0
三水区,2018,54,0,0.0
三水区,2019,72,0,0.0
三江侗族自治县,2010,36,0,0.0
三江侗族自治县,2011,49,0,0.0
三江侗族自治县,2012,24,0,0.0
三江侗族自治县,2013,67,0,0.0
三江侗族自治县,2014,22,0,0.0
三江侗族自治县,2015,18,0,0.0
三江侗族自治县,2016,14,0,0.0
三江侗族自治县,2017,20,0,0.0
三江侗族自治县,2018,5,0,0.0
三江侗族自治县,2019,29,0,0.0
三沙市,2013,1,0,0.0
三沙市,2019,1,0,0.0
三河市,2010,30,0,0.0
三河市,2011,26,0,0.0
三河市,2012,35,0,0.0
三河市,2013,15,0,0.0
三河市,2014,24,0,0.0
三河市,2015,24,0,0.0
三河市,2016,21,0,0.0
三河市,2017,15,0,0.0
三河市,2018,8,0,0.0
三河市,2019,29,0,0.0
三穗县,2011,9,0,0.0
三穗县,2013,1,0,0.0
三穗县,2014,2,0,0.0
三穗县,2016,1,0,0.0
三穗县,2017,2,0,0.0
三穗县,2018,2,0,0.0
三穗县,2019,3,0,0.0
三都水族自治县,2010,47,0,0.0
三都水族自治县,2011,39,0,0.0
三都水族自治县,2012,14,0,0.0
三都水族自治县,2013,46,0,0.0
三都水族自治县,2014,32,0,0.0
三都水族自治县,2015,25,0,0.0
三都水族自治县,2016,22,0,0.0
三都水族自治县,2017,4,0,0.0
三都水族自治县,2018,15,0,0.0
三都水族自治县,2019,2,0,0.0
三门县,2010,8,0,0.0
三门县,2011,13,0,0.0
三门县,2012,12,0,0.0
三门县,2013,12,0,0.0
三门县,2014,6,0,0.0
三门县,2015,8,0,0.0
三门县,2016,10,0,0.0
三门县,2017,24,0,0.0
