code,year,fire_count
120117.0,2019,109
120118.0,2010,78
120118.0,2011,45
120118.0,2012,42
120118.0,2013,108
120118.0,2014,86
120118.0,2015,46
120118.0,2016,73
120118.0,2017,56
120118.0,2018,155
120118.0,2019,92
120119.0,2010,10
120119.0,2011,9
120119.0,2012,30
120119.0,2013,19
120119.0,2014,21
120119.0,2015,31
120119.0,2016,29
120119.0,2017,13
120119.0,2018,17
120119.0,2019,16
130102.0,2010,1
130102.0,2012,4
130102.0,2013,2
130102.0,2014,5
130102.0,2015,6
130102.0,2016,3
130102.0,2017,12
130102.0,2018,5
130102.0,2019,4
130104.0,2010,2
130104.0,2011,3
130104.0,2012,3
130104.0,2013,1
130104.0,2014,3
130104.0,2016,1
130104.0,2017,3
130105.0,2010,1
130105.0,2011,2
130105.0,2012,2
130105.0,2014,2
130105.0,2016,1
130105.0,2017,3
130105.0,2018,2
130105.0,2019,3
130107.0,2010,10
130107.0,2011,8
130107.0,2012,6
130107.0,2013,17
130107.0,2014,8
130107.0,2015,8
130107.0,2016,10
130107.0,2017,11
130107.0,2018,10
130107.0,2019,11
130108.0,2010,2
130108.0,2011,2
130108.0,2012,10
130108.0,2013,3
130108.0,2014,7
130108.0,2016,1
130108.0,2017,2
130109.0,2010,9
130109.0,2011,21
130109.0,2012,18
130109.0,2013,14
130109.0,2014,17
130109.0,2015,17
130109.0,2016,17
130109.0,2017,57
130109.0,2018,7
130109.0,2019,14
130110.0,2010,11
130110.0,2011,2
130110.0,2012,6
130110.0,2013,7
130110.0,2014,9
130110.0,2015,1
130110.0,2016,7
130110.0,2017,11
130110.0,2018,7
130110.0,2019,11
130111.0,2010,5
130111.0,2011,2
130111.0,2012,9
130111.0,2014,8
130111.0,2015,6
130111.0,2016,8
130111.0,2017,7
130111.0,2018,7
130111.0,2019,5
130121.0,2010,8
130121.0,2011,13
130121.0,2012,21
130121.0,2013,23
130121.0,2014,27
130121.0,2015,2
130121.0,2016,1
130121.0,2017,6
130121.0,2018,3
130121.0,2019,48
130123.0,2010,10
