date,pm25_mean,pm25_max,pm25_std,pm25_count,fire_count,brightness_mean,brightness_max,confidence_mean
2011-10-10,24.100404090668743,124.0965687596225,10.800240072426305,8982,1087,308.9931922723091,361.3,57.78380864765409
2011-10-11,29.13647749362382,93.16052864439162,11.30641240450843,8982,506,307.450395256917,370.5,53.3498023715415
2011-10-12,41.58976140179776,158.58570939950968,21.45327771418429,8982,2218,308.7027502254283,359.5,56.92696122633003
2011-10-13,79.47423402833817,262.4699642329253,43.01467766133852,8982,722,306.90138504155124,354.0,52.34903047091413
2011-10-14,85.63369547443813,244.4431570223724,46.96665397590598,8982,392,306.74387755102043,377.5,50.04081632653061
2011-10-19,66.99255796439358,208.79835885755776,31.804101790026802,8982,1798,306.96329254727476,385.6,52.760289210233594
2011-10-20,114.92753626225766,290.6414453182418,57.43510924572113,8982,301,308.28039867109635,394.9,51.627906976744185
2011-10-21,122.427299087084,394.90995925854776,75.97878962829647,8982,929,309.0912809472551,378.9,54.593110871905274
2011-10-22,144.15262424642694,465.3943133539736,92.95588630081089,8982,592,306.3347972972973,334.2,50.810810810810814
2011-10-24,30.863652611481875,155.09877348950135,16.659090221665426,8982,294,314.6734693877551,389.1,59.1530612244898
2011-10-25,34.86977001480393,202.21916155898015,19.598532635016905,8982,363,311.31790633608813,369.7,56.94490358126722
2011-10-26,56.21817136631325,174.67550009193062,26.449357444966257,8982,1136,310.9595950704225,407.3,57.36795774647887
2011-10-28,82.62659020887784,307.9394093104314,58.82892744927922,8982,379,311.36200527704483,408.2,56.21899736147757
2011-10-29,60.209749528432575,170.76629785232075,27.523131544655335,8982,1138,308.77636203866433,389.1,53.158172231985944
2011-10-30,102.91791251269552,302.9891724607658,51.18347310863993,8982,295,307.67694915254236,356.5,54.60677966101695
2011-10-31,129.195418017804,421.3078210142707,93.8014922596665,8982,358,305.8153631284916,336.6,52.30446927374302
2011-11-02,31.606656099792467,93.0793412041733,8.22607456141133,8982,1182,306.6214043993232,378.2,51.99069373942471
2011-11-03,53.8477228698604,187.205118536394,30.317318992773018,8982,335,304.58029850746266,335.9,45.44477611940299
2011-11-07,36.80372756508562,110.7697905255343,12.245594954184394,8982,431,310.4276102088167,373.1,57.37819025522042
2011-11-08,38.54811263294732,133.28856387969157,15.580630005239696,8982,426,310.76455399061035,362.6,59.586854460093896
2011-11-09,48.97067357524049,158.58840649005367,24.263141730323035,8982,624,310.4775641025641,367.5,58.145833333333336
2011-11-10,46.5914520873854,194.69687069362703,21.27924192247617,8982,524,310.92805343511446,384.9,57.650763358778626
2011-11-11,76.3422717749665,246.4172190971228,38.78152440313439,8982,361,307.697783933518,383.9,56.00831024930748
2012-03-25,25.015762740085556,45.77344392890387,3.2601055056393258,8982,331,316.1069486404834,419.8,61.65558912386707
2012-03-27,37.43640247628305,109.28677994958038,14.239481622688231,8982,500,309.3084,378.2,57.868
2012-04-03,26.191968011181427,50.41543470342496,3.5189961870588102,8982,381,308.75931758530186,371.3,54.71391076115486
2012-04-07,35.14548059804133,86.40905366751312,7.885331472129771,8982,643,310.96640746500776,380.0,59.19595645412131
2012-04-14,34.52904393851901,75.42889353293856,8.69173612506866,8982,443,314.5489841986456,414.7,62.29119638826185
2012-10-26,51.494643381977255,141.7137255654836,25.179991073325287,8982,763,306.06828309305376,352.6,49.462647444298824
2013-04-22,47.99171369124708,110.08514218222255,18.452367839691966,8982,993,310.89425981873114,369.2,56.4551863041289
2013-04-29,51.3104708559219,135.8711245760481,15.984220585251427,8982,419,310.55369928400955,359.3,57.58472553699284
2013-05-03,33.21813590239274,95.50331261278026,10.030518860957546,8982,613,315.0396411092985,360.0,60.296900489396414
2013-05-04,39.85114278367543,142.71861572474285,17.305323696202183,8982,310,318.61451612903227,396.4,59.08387096774194
2013-05-05,33.78460146749046,83.45178104296384,10.094553541590301,8982,512,316.40078125,371.6,60.111328125
2013-05-06,39.157095742474795,126.81922010480037,11.066242810933545,8982,462,316.6186147186147,343.8,60.04978354978355
2013-05-07,62.4458088675892,145.6774398270989,18.117566149982636,8982,512,314.79453125,351.6,59.248046875
2013-05-08,65.00984698695764,140.14927384147063,18.284350201619965,8982,468,319.1333333333333,382.7,62.164529914529915
2013-10-06,57.180371500432976,155.64761121042378,24.387036221414114,8982,309,307.67896440129454,349.8,53.50809061488673
2013-10-08,26.207728915719525,71.7297756253469,8.506679485192063,8982,662,306.52447129909365,344.4,52.968277945619334
2013-10-09,43.38806295294337,165.15576639510493,27.844799970080192,8982,508,309.5311023622047,353.5,56.59842519685039
2013-10-10,62.27735867272495,176.21613012835928,35.01472815824347,8982,635,306.3946456692913,349.4,52.185826771653545
2013-10-13,23.43427018692641,78.66752748259621,7.279380042883343,8982,559,307.71216457960645,354.9,55.409660107334524
2013-10-15,24.476698812934266,70.84301715499949,7.601987191725886,8982,444,306.7427927927928,335.9,53.6509009009009
2013-10-17,66.74638479247167,277.7914146535388,38.46390926708055,8982,1062,307.55009416195855,364.0,52.483992467043315
2013-10-18,92.29568719006171,237.00632518568412,45.63181051788917,8982,1302,306.2702764976959,349.1,50.39170506912443
2013-10-19,126.54665137802087,387.3806876025547,85.82708027634642,8982,372,306.91774193548383,340.1,51.56720430107527
2013-10-22,142.19229728316657,486.31809693319497,80.395131018486,8982,354,308.7127118644068,360.7,55.889830508474574
2013-10-24,62.028286816267126,177.8686938036599,29.246290884833055,8982,369,323.01436314363144,409.6,68.53658536585365
2013-10-31,43.48289095203335,128.86704513821127,22.535216978448496,8982,494,307.51153846153846,392.7,52.43927125506073
2013-11-03,75.2419378787131,309.9756001596831,58.13759957393224,8982,435,308.4554022988506,381.5,55.197701149425285
2014-03-13,34.3239917961391,86.29915263354874,9.445278124041577,8982,322,305.1217391304348,332.7,53.51242236024845
2014-03-22,34.66017533711489,72.74246429276901,11.512832431173088,8982,351,310.86524216524214,348.7,58.13960113960114
2014-03-29,31.68837568800041,72.70135214997802,7.872628628394511,8982,378,311.24920634920636,351.7,57.666666666666664
2014-03-31,28.339873837052853,61.32402567294487,5.791804050072495,8982,524,311.02080152671755,358.2,56.295801526717554
2014-04-06,32.66456577693418,80.60887472878062,7.765359747777456,8982,304,309.58190789473684,402.9,55.276315789473685
2014-04-07,36.225338784084805,97.11331188388534,9.901229442628916,8982,827,315.46686819830717,373.9,61.34340991535671
2014-04-09,32.853489308435094,116.64570434087508,17.851590814287846,8982,1121,314.6313113291704,388.5,62.64763603925067
2014-04-10,28.998644603730806,78.97797664770079,8.308049775815741,8982,698,311.33782234957016,375.5,58.53868194842407
2014-04-11,33.191107713444644,92.38923905676111,8.958313874199977,8982,1018,313.6909626719057,384.2,61.052062868369354
2014-04-12,37.868454930618014,94.04644733285194,11.941044175488642,8982,612,315.05964052287584,371.4,60.91503267973856
2014-04-13,41.9227233845654,138.91147935833672,14.443201132070076,8982,969,315.0831785345717,399.9,60.69246646026832
2014-04-14,41.135501780406294,99.06839763983784,16.907355353493273,8982,490,314.21346938775514,375.0,61.289795918367346
2014-04-15,23.401082576374893,43.69605074917145,4.377288896486264,8982,417,308.47338129496404,364.1,55.32374100719424
2014-04-16,26.63544000474058,62.48046951546567,9.08146637288877,8982,574,310.02142857142854,402.8,57.62891986062718
2014-04-18,28.32353637910454,74.41974700521159,7.285087755905613,8982,666,313.5231231231231,366.4,59.72072072072072
2014-04-19,37.053797683230556,82.1664997270559,10.730015174033662,8982,399,312.6847117794486,345.1,58.100250626566414
2014-09-07,22.71109624827967,52.328949208532435,5.989958426101688,8982,304,313.7947368421053,360.5,61.42434210526316
2014-10-06,26.420484371578453,95.1684339632448,8.548121406649049,8982,829,305.6376357056695,353.7,48.37394451145959
2014-10-13,25.209446092798906,120.20907011066288,10.4090168830623,8982,1086,305.9421731123389,363.2,51.05340699815838
2014-10-14,47.225974621327886,261.39327730082516,34.150469416470784,8982,1313,308.7161462300076,393.8,54.62680883472963
2014-10-15,50.45121179800607,202.8773078894081,27.767011239907145,8982,686,307.7734693877551,349.2,51.12827988338192
2014-10-16,38.76061862201056,168.19771969616772,22.72302093049177,8982,1339,309.70126960418224,365.8,57.60268857356236
2014-10-17,45.16278087029928,143.30106368263162,27.339088468101735,8982,662,308.4407854984894,349.1,53.02114803625378
2014-10-18,67.46704839976856,280.05858499914217,46.72201496437827,8982,2917,309.51371271854646,388.7,56.440521083304766
2014-10-19,53.62247198454508,149.5498441544204,29.18646116210917,8982,731,310.6404924760602,377.1,57.14774281805745
2014-10-20,27.726968657043198,92.2816152672009,14.089448177394246,8982,1459,309.42501713502395,360.2,55.36052090472926
2014-10-21,34.23488320706162,179.74457042727892,21.433557758567666,8982,1374,306.43937409024744,364.3,51.14774381368268
2014-10-22,73.04025041015596,384.9034078638928,57.82092133204312,8982,1327,307.7849284099472,353.4,53.882441597588546
2014-10-23,88.11437872104554,290.34370255808506,57.99553989852915,8982,2611,308.58395250861736,365.5,54.14860206817311
