fire_date,fire_count,baseline_pm25,max_pm25_window,pm25_increase,increase_percentage
2013-10-22,354,142.19229728316657,142.19229728316657,0.0,0.0
2013-10-24,369,62.028286816267126,75.99782742443217,13.969540608165048,22.521242041625257
2013-10-31,494,43.48289095203335,84.75214111276084,41.26925016072749,94.90916831231905
2013-11-03,435,75.2419378787131,75.2419378787131,0.0,0.0
2014-03-13,322,34.3239917961391,47.23945955199479,12.915467755855694,37.62810524068613
2014-03-22,351,34.66017533711489,67.40100436976131,32.74082903264642,94.46238720433362
2014-03-29,378,31.68837568800041,36.059153701298015,4.370778013297606,13.793001119185513
2014-03-31,524,28.339873837052853,36.059153701298015,7.719279864245163,27.23822945941496
2014-04-06,304,32.66456577693418,45.034053570539974,12.369487793605792,37.86821437663318
2014-04-07,827,36.225338784084805,45.034053570539974,8.80871478645517,24.31644556579048
